point_from,point_to,weight
413779729,26459797,1
53128314,19178668,1
1955720384,2360323201,2
826701510,2570427830,1
27225245,43830965,2
24825958,29424561,1
35644750,170276973,1
15641984,99233470,1
590023803,36951856,3
990206568,153410226,1
19178668,20658917,1
714051386,3017002076,2
17646796,3006153780,1
1078684573,2710541450,1
331379045,73850532,2
22116112,704903653,2
39935935,23053753,1
261162002,501521155,1
446631012,1587277770,1
1695442555,3017002076,2
77050158,340376505,1
2959270807,20644420,1
2437652922,907734912,1
291612312,39935935,2
17263897,719655337,1
1042096441,20644420,1
2437652922,1067692500,1
135132634,25805982,2
193700451,86277690,2
25271470,590023803,1
51271144,529090657,1
23935607,22135526,2
555709757,340376505,1
436502521,275622946,1
64855519,450414092,2
